nombre_colegio,localidad,direccion,telefono,email,tipo_discapacidad
COLEGIO SAN MARTIN DE PORRES (IED),CHAPINERO,"Chapinero Cr2 # 44 – 36",2328403,escdisanmartindepo2@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO CAMPESTRE MONTE VERDE (IED),CHAPINERO,"Calle 81 # 11 - 71",2578444,admisiones@colegionuevogimnasio.edu.co,DISCAPACIDAD INTELECTUAL
FUNDACIÓN DE ASISTENCIA SOCOMERCIAL MADRE RAFOLS,CHAPINERO,"Cr. 31 #.63-39 Benjamín Herrera",2558813,,DISCAPACIDAD INTELECTUAL
INSTITUCIÓN EDUCATIVA GIMNASIO DEVIS,CHAPINERO,"CR. 59 # 173-82 San José de Bavaria",6711342,gimnasionanita@yahoo.com,DISCAPACIDAD INTELECTUAL
UNIDAD PREESCOLAR SANTA MÓNICA,CHAPINERO,"CR. 38 # 55-18 (Nicolás Federmann)",3153421,AMRO001@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO DEL SAGRADO CORAZÓN DE JESÚS BETHELEMITAS,CHAPINERO,"KR 7 #65-42 Granada",3479700,info@bethlemitasbogota.edu.co,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,CHAPINERO,"Cl. 88 #122I-46, Bogotá",4317976,,DISCAPACIDAD INTELECTUAL
AULA HÚMEDA,CHAPINERO,"Calle 72 #11. (Universidad Pedagógica Nacional)",,,"DISCAPACIDAD INTELECTUAL, VISUAL, AUDITIVA"
COLEGIO ANTONIO JOSE URIBE (IED),SANTA FÉ,"Santafé CLL 3#9-80 barrio Santa Bárbara",2893956,coldiantoniojoseur3@redp.edu.o,DISCAPACIDAD INTELECTUAL
COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),SANTA FÉ,"Santafé Carrera 11 ESTE # 1A-85. Barrio El Rocío",3281041,,DISCAPACIDAD INTELECTUAL
COLEGIO JORGE SOTO DEL CORRAL (IED),SANTA FÉ,"Santa fe Calle 1D Bis #2-36 Este, Barrio Girardot",2338397,coldijorgesotodelc3@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO MANUEL ELKIN PATARROYO (IED),SANTA FÉ,"Santafé Carrera 4 #32-92, Barrio La Perseverancia",3383844,cedmanuelelkinpat3@redp.edu.co,DISCAPACIDAD INTELECTUAL
FUNDACIÓN FÉ,SANTA FÉ,"Calle 36 # 6 – 25",,fundacionfe@fundacionfe.org,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL UNIVERSIDAD CENTRAL,SANTA FÉ,"CL 21 #3-60 Las Nieves",3417604,jardinucentral@hotmail.com,DISCAPACIDAD INTELECTUAL
LICEO NACIONAL POLICARPA SALAVARRIETA,SANTA FÉ,"CL 28 #5A-06 San Martin",3341965,lnalpolicarpasalav3@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO ENTRE NUBES SUR ORIENTAL (IED),SAN CRISTÓBAL,"San Cristóbal Calle 43B SUR # 1D-03 ESTE. Barrio Canadá Güira",3645976,,DISCAPACIDAD INTELECTUAL
COLEGIO JUANA ESCOBAR (IED),SAN CRISTÓBAL,"San Cristóbal Carrera 15 ESTE # 58-04 SUR. Barrio San Rafael Usme/",3652789,,DISCAPACIDAD INTELECTUAL
COLEGIO LA VICTORIA (IED),SAN CRISTÓBAL,"San Cristóbal carrera 3B ESTE # 38-25 SUR. Barrio La Victoria",2068504,,DISCAPACIDAD INTELECTUAL
COLEGIO LOS ALPES (IED),SAN CRISTÓBAL,"San Cristóbal Carrera 12 ESTE # 33A-80 SUR",3670125,,DISCAPACIDAD INTELECTUAL
COLEGIO RAFAEL NUÑEZ (IED),SAN CRISTÓBAL,"San Cristóbal Carrera 9A #18-74. Barrio Sosiego",2789919,cedrafaelnenez4@redp.edu.co,DISCAPACIDAD INTELECTUAL
